PFAM	UniProt	pseudohap
PF00467	5.26666666666667	4.33333333333333
PF00472	3.46666666666667	4.33333333333333
PF00474	10.5333333333333	34.6666666666667
PF00476	2.6	3
PF00478	1.93333333333333	5.66666666666667
PF00479	2.26666666666667	5
PF00480	0.333333333333333	4.33333333333333
PF00481	22.4	25.6666666666667
PF00483	4.93333333333333	9
PF00484	2.13333333333333	4.33333333333333
PF00485	3.53333333333333	5.33333333333333
PF00487	7.86666666666667	19
PF00488	4.93333333333333	3.66666666666667
PF00490	1	1
PF00491	2.06666666666667	5
PF00493	7.53333333333333	14.3333333333333
PF00494	2.2	2
PF00497	5	48.3333333333333
PF00498	14.6666666666667	25.6666666666667
PF00501	31.6666666666667	238.333333333333
PF00503	12.2	17
PF00505	21.7333333333333	48.6666666666667
PF00514	45.4666666666667	51
PF00515	11.9333333333333	84.3333333333333
PF00520	65.0666666666667	252
PF00521	1.66666666666667	3.33333333333333
PF00530	32.5333333333333	6
PF00531	27	24.3333333333333
PF00533	8.33333333333333	31.6666666666667
PF00534	11.6666666666667	15.3333333333333
PF00535	13	24.6666666666667
PF00536	19.4	39
PF00538	7.2	4.33333333333333
PF00542	1.8	2
PF00547	0.6	1.66666666666667
PF00549	4.06666666666667	8.33333333333333
PF00550	7.8	110.333333333333
PF00551	3	5
PF00553	0.333333333333333	1
PF00557	9.6	17
PF00560	39.7333333333333	2.66666666666667
PF00561	15.7333333333333	45
PF00562	4	3.66666666666667
PF00564	9.13333333333333	10.6666666666667
PF00565	5.26666666666667	6
PF00566	24.6666666666667	50.3333333333333
PF00567	17.6	71
PF00568	3.93333333333333	7.33333333333333
PF00569	9.73333333333333	79.3333333333333
PF00570	2.4	3.33333333333333
PF00571	23.8666666666667	30
PF00572	2.53333333333333	3.33333333333333
PF00573	2.46666666666667	3.33333333333333
PF00574	2	1.33333333333333
PF00575	8.2	7.66666666666667
PF00576	0.866666666666667	1.66666666666667
PF00578	5.4	13
PF00579	5.4	6
PF00580	0.6	2.66666666666667
PF00581	15.4666666666667	20.6666666666667
PF00583	19.2666666666667	72
PF00584	1.46666666666667	2.66666666666667
PF00586	1.73333333333333	2
PF00587	6.53333333333333	11
PF00588	2.6	3
PF00590	1.46666666666667	1.66666666666667
PF00591	0.666666666666667	2.66666666666667
PF00595	60.4	219
PF00596	2.6	6.33333333333333
PF00609	4.33333333333333	18.6666666666667
PF00610	7	14
PF00611	6.4	21.3333333333333
PF00612	47.2	51
PF00613	4.33333333333333	10.6666666666667
PF00614	5.46666666666667	13
PF00615	11.4666666666667	28.3333333333333
PF00616	6.26666666666667	6.66666666666667
PF00617	10.6666666666667	27.3333333333333
PF00618	7.2	15.6666666666667
PF00619	11.5333333333333	3.33333333333333
