PFAM	UniProt	BRACP
PF00093	12.6428571428571	3
PF00094	17.1428571428571	18
PF00095	11.0714285714286	13
PF00096	968.428571428571	154
PF00097	17	15
PF00098	31.3571428571429	53
PF00102	27.9285714285714	16
PF00104	31.2142857142857	20
PF00105	36.7142857142857	54
PF00106	55.1428571428571	43
PF00107	18.2142857142857	9
PF00108	4.64285714285714	5
PF00109	8	2
PF00110	6.57142857142857	4
PF00111	5.85714285714286	3
PF00112	18.6428571428571	24
PF00113	2.5	3
PF00117	7.07142857142857	2
PF00118	14.5714285714286	10
PF00120	3.85714285714286	2
PF00121	1.42857142857143	1
PF00122	23.1428571428571	27
PF00125	24.8571428571429	35
PF00128	8.42857142857143	7
PF00130	19.7142857142857	22
PF00132	9.57142857142857	8
PF00133	8.85714285714286	10
PF00134	19.7857142857143	21
PF00135	25.6428571428571	11
PF00136	4.07142857142857	9
PF00137	8.92857142857143	12
PF00144	5.57142857142857	1
PF00145	3.42857142857143	1
PF00146	1	1
PF00147	31.5714285714286	8
PF00149	36.1428571428571	40
PF00150	5.57142857142857	8
PF00151	8.14285714285714	14
PF00152	6.71428571428571	5
PF00153	110.214285714286	96
PF00155	17.3571428571429	13
PF00156	5.5	5
PF00157	4.07142857142857	4
PF00159	0.5	3
PF00160	17.5	14
PF00162	2.07142857142857	1
PF00163	2.14285714285714	1
PF00164	2.35714285714286	2
PF00166	2.14285714285714	1
PF00168	85.7142857142857	66
PF00169	49.7857142857143	28
PF00170	18.7857142857143	8
PF00171	14.6428571428571	11
PF00173	13.2142857142857	14
PF00174	1.78571428571429	1
PF00175	8.85714285714286	9
PF00176	25.8571428571429	17
PF00177	2.42857142857143	2
PF00178	7.92857142857143	6
PF00179	30.5	25
PF00180	5.92857142857143	6
PF00181	2.5	2
PF00182	3.78571428571429	9
PF00183	4.42857142857143	6
PF00184	0.5	1
PF00185	1.64285714285714	1
PF00186	1.42857142857143	2
PF00188	20.0714285714286	17
PF00189	1.57142857142857	1
PF00191	24.2857142857143	31
PF00194	10.3571428571429	13
PF00198	4.57142857142857	4
PF00199	2.14285714285714	3
PF00200	5.64285714285714	3
PF00201	39.2142857142857	8
PF00202	5.85714285714286	4
PF00203	2.28571428571429	1
PF00204	1.57142857142857	2
PF00205	3.14285714285714	2
PF00206	3.5	3
PF00207	3.85714285714286	3
PF00208	2.21428571428571	1
PF00209	14.8571428571429	20
PF00210	2.85714285714286	11
PF00211	29.5714285714286	12
PF00213	1.35714285714286	1
PF00215	1.07142857142857	1
PF00217	2.71428571428571	4
PF00221	1.92857142857143	1
PF00224	3.92857142857143	1
PF00225	28.7142857142857	42
PF00226	42	38
PF00227	16.7142857142857	13
PF00230	12.8571428571429	8
PF00231	1.28571428571429	1
PF00233	7.14285714285714	10
PF00235	3.64285714285714	2
PF00237	2.5	2
PF00238	2.57142857142857	2
PF00240	43.9285714285714	21
PF00241	8.85714285714286	4
PF00244	5.5	2
PF00245	3.78571428571429	5
PF00246	11.1428571428571	22
PF00248	18.5714285714286	11
PF00249	61.6428571428571	11
PF00250	15.7142857142857	20
PF00252	2.71428571428571	3
PF00253	2.21428571428571	2
PF00254	13.9285714285714	9
PF00255	3.78571428571429	2
PF00258	4.21428571428571	9
PF00261	2	3
PF00262	4	4
PF00265	0.571428571428571	1
PF00266	8.28571428571429	10
PF00268	1.35714285714286	2
PF00270	60.5714285714286	64
PF00271	88.5714285714286	75
PF00274	2.21428571428571	2
PF00276	2.5	2
PF00278	1.71428571428571	3
PF00281	1.64285714285714	1
PF00282	9.71428571428571	10
PF00285	3	2
PF00287	2.14285714285714	5
PF00288	5.57142857142857	5
PF00289	3.5	5
PF00291	9.14285714285714	6
PF00292	4.28571428571429	8
PF00293	15.2142857142857	15
PF00294	7.5	4
PF00295	8.5	1
PF00297	2.42857142857143	2
PF00298	2.21428571428571	3
PF00300	10.5714285714286	10
PF00303	1.21428571428571	1
PF00306	1.21428571428571	1
PF00307	40	38
PF00310	1.07142857142857	1
PF00312	2.28571428571429	2
PF00313	4.35714285714286	15
PF00314	5.64285714285714	2
PF00316	1.71428571428571	3
PF00317	1.14285714285714	1
PF00318	3.85714285714286	3
PF00319	15.4285714285714	2
PF00320	14.4285714285714	6
PF00324	8.57142857142857	9
PF00326	7.07142857142857	4
PF00327	2.28571428571429	1
PF00328	8.14285714285714	8
PF00329	1	2
PF00330	3.21428571428571	3
PF00333	2.5	2
PF00334	5.21428571428571	8
PF00335	23.1428571428571	25
PF00337	6.85714285714286	3
PF00338	2.85714285714286	3
PF00339	8.92857142857143	10
PF00341	1.42857142857143	1
PF00342	1.57142857142857	1
PF00343	1.78571428571429	1
PF00344	2.07142857142857	1
PF00346	1.42857142857143	1
PF00347	3.42857142857143	2
PF00348	5.64285714285714	4
PF00349	3.35714285714286	2
PF00350	11	9
PF00351	1.92857142857143	5
PF00352	4.14285714285714	8
PF00355	4.57142857142857	3
PF00362	2.07142857142857	2
PF00364	8.35714285714286	8
PF00365	4.78571428571429	4
PF00366	2.28571428571429	1
PF00368	1.35714285714286	1
PF00370	3.92857142857143	5
PF00373	15.0714285714286	12
PF00375	2.42857142857143	8
PF00378	9.85714285714286	12
PF00380	2.21428571428571	2
PF00382	5.71428571428571	6
PF00383	6.28571428571429	3
PF00384	1	2
PF00385	13.5714285714286	24
PF00386	6.42857142857143	1
PF00387	5.64285714285714	4
PF00388	6.14285714285714	5
PF00389	4.92857142857143	5
PF00390	3	3
PF00393	1.35714285714286	1
PF00394	9.64285714285714	1
PF00396	5.28571428571429	10
PF00397	21.9285714285714	21
PF00398	2.5	2
PF00400	499.142857142857	1119
PF00402	5.92857142857143	2
PF00403	15.7857142857143	3
PF00405	2.71428571428571	1
PF00406	8.5	14
PF00408	2.85714285714286	3
PF00410	1.85714285714286	1
PF00411	2.42857142857143	2
PF00412	56.2142857142857	74
PF00413	8.21428571428571	10
PF00415	57.7142857142857	24
PF00416	1.78571428571429	1
PF00418	3.64285714285714	6
PF00428	5.07142857142857	4
PF00431	69.8571428571429	20
PF00432	14	13
PF00433	9.21428571428571	6
PF00435	62.8571428571429	48
PF00436	1.14285714285714	1
PF00438	1.64285714285714	5
PF00439	23.7142857142857	14
PF00441	9.07142857142857	10
PF00443	29.8571428571429	42
PF00444	1.21428571428571	1
PF00445	2.78571428571429	1
PF00447	5.92857142857143	1
PF00448	2.85714285714286	2
PF00449	0.714285714285714	1
PF00452	2.64285714285714	3
PF00453	0.928571428571429	1
PF00454	14.0714285714286	14
PF00456	1.5	1
PF00458	3.78571428571429	3
PF00459	4.85714285714286	3
PF00462	11.4285714285714	9
PF00464	2.5	2
PF00466	2.92857142857143	2
PF00467	5.28571428571429	5
PF00468	0.785714285714286	1
PF00472	3.5	3
PF00474	10	18
PF00476	2.64285714285714	2
PF00478	2	1
PF00479	2.28571428571429	2
PF00481	23	14
PF00483	5.07142857142857	3
PF00484	2.14285714285714	2
PF00485	3.5	4
PF00487	7.64285714285714	11
PF00488	5	4
PF00490	1	1
PF00491	2.14285714285714	1
PF00493	7.28571428571429	11
PF00494	2.21428571428571	2
PF00497	5.28571428571429	1
PF00498	14.5	17
PF00501	32	27
PF00503	12.2857142857143	11
PF00505	21.7857142857143	21
PF00514	46.1428571428571	36
PF00515	11.7857142857143	14
PF00520	63.9285714285714	81
PF00521	1.64285714285714	2
PF00530	34.6428571428571	3
PF00531	28.4285714285714	7
PF00533	8.42857142857143	7
PF00534	12.1428571428571	5
PF00535	13.2857142857143	9
PF00536	19.5714285714286	17
PF00538	7.42857142857143	4
PF00542	1.85714285714286	1
PF00547	0.571428571428571	1
PF00549	4	5
PF00550	8.14285714285714	3
PF00551	3.07142857142857	2
PF00554	1.92857142857143	2
PF00557	9.64285714285714	9
PF00560	41.7857142857143	11
PF00561	16.0714285714286	11
